id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
167091,lipnica riedka,sk,"","",,Slovak,Samo Sučík,2025-08-03T18:04:52Z
472973,rožec širokolistý,sk,"","",,Slovak,Samo Sučík,2025-08-03T18:05:21Z
208784,lipkavec pochybný,sk,"","",,Slovak,Samo Sučík,2025-08-03T18:05:51Z
61978,záraza väčšia,sk,"","",,Slovak,Samo Sučík,2025-08-03T18:07:24Z
199317,mrkva obyčajná pravá,sk,"","",,Slovak,Samo Sučík,2025-08-03T18:07:49Z
479420,vŕba tupolistá,sk,"","",,Slovak,Samo Sučík,2025-08-03T18:08:15Z
78164,riečňanka prímorská,sk,"","",,Slovak,Samo Sučík,2025-08-03T18:08:38Z
48160,"nevädza, benedikt",sk,"","",,Slovak,Samo Sučík,2025-08-03T18:09:35Z
62575,ježohlav jednoduchý,sk,"","",,Slovak,Samo Sučík,2025-08-03T18:10:07Z
77422,truskavec obyčajný,sk,"","",,Slovak,Samo Sučík,2025-08-03T18:10:29Z
906993,lipkavec Schultesov,sk,"","",,Slovak,Samo Sučík,2025-08-03T18:13:11Z
