rank,order_scientific,order_common,infraorder_scientific,infraorder_common,superfamily_scientific,superfamily_common,family_scientific,family_common,genus_scientific,genus_common,species_scientific,species_common
family,coleoptera,chrobáky,polyphaga,všežravé,,,staphylinidae,drobčíkovité,,,,
genus,coleoptera,chrobáky,polyphaga,všežravé,,,staphylinidae,drobčíkovité,anthobium,drobčík,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,staphylinidae,drobčíkovité,anthobium,drobčík,anthobium minutum,drobčík malý
genus,coleoptera,chrobáky,polyphaga,všežravé,,,staphylinidae,drobčíkovité,trogophloeus,drobčík,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,staphylinidae,drobčíkovité,trogophloeus,drobčík,trogophloeus corticinus,drobčík vlhkomilný
genus,coleoptera,chrobáky,polyphaga,všežravé,,,staphylinidae,drobčíkovité,oxytelus,drobčík,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,staphylinidae,drobčíkovité,oxytelus,drobčík,oxytelus sculptus,drobčík bodkovaný
genus,coleoptera,chrobáky,polyphaga,všežravé,,,staphylinidae,drobčíkovité,oxyporus,drobčík,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,staphylinidae,drobčíkovité,oxyporus,drobčík,oxyporus rufus,drobčík hubový
genus,coleoptera,chrobáky,polyphaga,všežravé,,,staphylinidae,drobčíkovité,stenus,drobčík,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,staphylinidae,drobčíkovité,stenus,drobčík,stenus biguttatus,drobčík dvojškvrnný
genus,coleoptera,chrobáky,polyphaga,všežravé,,,staphylinidae,drobčíkovité,paederus,drobčík,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,staphylinidae,drobčíkovité,paederus,drobčík,paederus litoralis,drobčík pobrežný
genus,coleoptera,chrobáky,polyphaga,všežravé,,,staphylinidae,drobčíkovité,staphylinus,drobčík,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,staphylinidae,drobčíkovité,staphylinus,drobčík,staphylinus caesareus,drobčík cisársky
species,coleoptera,chrobáky,polyphaga,všežravé,,,staphylinidae,drobčíkovité,staphylinus,drobčík,staphylinus erythropterus,drobčík hnedý
genus,coleoptera,chrobáky,polyphaga,všežravé,,,staphylinidae,drobčíkovité,ocypus,drobčík,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,staphylinidae,drobčíkovité,ocypus,drobčík,ocypus tenebricosus,drobčík čierny
genus,coleoptera,chrobáky,polyphaga,všežravé,,,staphylinidae,drobčíkovité,emus,drobčík,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,staphylinidae,drobčíkovité,emus,drobčík,emus hirtus,drobčík chlpatý
genus,coleoptera,chrobáky,polyphaga,všežravé,,,staphylinidae,drobčíkovité,quedius,drobčík,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,staphylinidae,drobčíkovité,quedius,drobčík,quedius fulgidus,drobčík červenkastý
species,coleoptera,chrobáky,polyphaga,všežravé,,,staphylinidae,drobčíkovité,quedius,drobčík,quedius mesomelinus,drobčík pivničný
species,coleoptera,chrobáky,polyphaga,všežravé,,,staphylinidae,drobčíkovité,quedius,drobčík,quedius laevigatus,drobčík smrekový
family,coleoptera,chrobáky,polyphaga,všežravé,,,histeridae,mrcinárovité,,,,
genus,coleoptera,chrobáky,polyphaga,všežravé,,,histeridae,mrcinárovité,hololepta,mrcinár,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,histeridae,mrcinárovité,hololepta,mrcinár,hololepta plana,mrcinár topoľový
genus,coleoptera,chrobáky,polyphaga,všežravé,,,histeridae,mrcinárovité,plegaderus,mrcinár,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,histeridae,mrcinárovité,plegaderus,mrcinár,plegaderus caesus,mrcinár drobný
genus,coleoptera,chrobáky,polyphaga,všežravé,,,histeridae,mrcinárovité,saprinus,mrcinár,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,histeridae,mrcinárovité,saprinus,mrcinár,saprinus semistriatus,mrcinár lesklý
genus,coleoptera,chrobáky,polyphaga,všežravé,,,histeridae,mrcinárovité,platysoma,mrcinár,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,histeridae,mrcinárovité,platysoma,mrcinár,platysoma frontale,mrcinár ploský
species,coleoptera,chrobáky,polyphaga,všežravé,,,histeridae,mrcinárovité,platysoma,mrcinár,platysoma oblongum,mrcinár podlhovastý
genus,coleoptera,chrobáky,polyphaga,všežravé,,,histeridae,mrcinárovité,hister,mrcinár,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,histeridae,mrcinárovité,hister,mrcinár,hister quadrinotatus,mrcinár škvrnitý
species,coleoptera,chrobáky,polyphaga,všežravé,,,histeridae,mrcinárovité,hister,mrcinár,hister cadaverinus,mrcinár obyčajný
species,coleoptera,chrobáky,polyphaga,všežravé,,,histeridae,mrcinárovité,hister,mrcinár,hister fimetarius,mrcinár výkalový
family,coleoptera,chrobáky,polyphaga,všežravé,,,lampyridae,svietivkovité,,,,
genus,coleoptera,chrobáky,polyphaga,všežravé,,,lampyridae,svietivkovité,phausis,svietivka,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,lampyridae,svietivkovité,phausis,svietivka,phausis splendidula,svietivka obyčajná
genus,coleoptera,chrobáky,polyphaga,všežravé,,,lampyridae,svietivkovité,lampyris,svietivka,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,lampyridae,svietivkovité,lampyris,svietivka,lampyris noctiluca,svietivka svätojánska
family,coleoptera,chrobáky,polyphaga,všežravé,,,cantharidae,snehuľčíkovité,,,,
genus,coleoptera,chrobáky,polyphaga,všežravé,,,cantharidae,snehuľčíkovité,cantharis,snehuľčík,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,cantharidae,snehuľčíkovité,cantharis,snehuľčík,cantharis fusca,snehuľčík sivočierny
species,coleoptera,chrobáky,polyphaga,všežravé,,,cantharidae,snehuľčíkovité,cantharis,snehuľčík,cantharis rustica,snehuľčík obyčajný
species,coleoptera,chrobáky,polyphaga,všežravé,,,cantharidae,snehuľčíkovité,cantharis,snehuľčík,cantharis obscura,snehuľčík tmavý
genus,coleoptera,chrobáky,polyphaga,všežravé,,,cantharidae,snehuľčíkovité,rhagonycha,snehuľčík,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,cantharidae,snehuľčíkovité,rhagonycha,snehuľčík,rhagonycha fulva,snehuľčík žltý
family,coleoptera,chrobáky,polyphaga,všežravé,,,malachiidae,malachiusovité,,,,
genus,coleoptera,chrobáky,polyphaga,všežravé,,,malachiidae,malachiusovité,malachius,malachius,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,malachiidae,malachiusovité,malachius,malachius,malachius viridis,malachius zelený
family,coleoptera,chrobáky,polyphaga,všežravé,,,cleridae,pestrošovité,,,,
genus,coleoptera,chrobáky,polyphaga,všežravé,,,cleridae,pestrošovité,thanasimus,pestroš,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,cleridae,pestrošovité,thanasimus,pestroš,thanasimus formicarius,pestroš mravcový
genus,coleoptera,chrobáky,polyphaga,všežravé,,,cleridae,pestrošovité,pseudoclerops,pestroš,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,cleridae,pestrošovité,pseudoclerops,pestroš,pseudoclerops mutillarius,pestroš veľký
genus,coleoptera,chrobáky,polyphaga,všežravé,,,cleridae,pestrošovité,trichodes,pestroš,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,cleridae,pestrošovité,trichodes,pestroš,trichodes apiarius,pestroš včelí
family,coleoptera,chrobáky,polyphaga,všežravé,,,corynetidae,kyjaničkárovité,,,,
genus,coleoptera,chrobáky,polyphaga,všežravé,,,corynetidae,kyjaničkárovité,corynetes,kyjaničkár,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,corynetidae,kyjaničkárovité,corynetes,kyjaničkár,corynetes coeruleus,kyjaničkár modrý
genus,coleoptera,chrobáky,polyphaga,všežravé,,,corynetidae,kyjaničkárovité,necrobia,kyjaničkár,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,corynetidae,kyjaničkárovité,necrobia,kyjaničkár,necrobia ruficollis,kyjaničkár pestrý
species,coleoptera,chrobáky,polyphaga,všežravé,,,corynetidae,kyjaničkárovité,necrobia,kyjaničkár,necrobia violacea,kyjaničkár tmavý
family,coleoptera,chrobáky,polyphaga,všežravé,,,lymexylidae,drvinárovité,,,,
genus,coleoptera,chrobáky,polyphaga,všežravé,,,lymexylidae,drvinárovité,hylecoetus,drvinár,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,lymexylidae,drvinárovité,hylecoetus,drvinár,hylecoetus dermestoides,drvinár hnedý
genus,coleoptera,chrobáky,polyphaga,všežravé,,,lymexylidae,drvinárovité,lymexylon,drvinár,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,lymexylidae,drvinárovité,lymexylon,drvinár,lymexylon navale,drvinár dubový
family,coleoptera,chrobáky,polyphaga,všežravé,,,elateridae,kováčikovité,,,,
genus,coleoptera,chrobáky,polyphaga,všežravé,,,elateridae,kováčikovité,lacon,kováčik,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,elateridae,kováčikovité,lacon,kováčik,lacon murinus,kováčik sivý
genus,coleoptera,chrobáky,polyphaga,všežravé,,,elateridae,kováčikovité,elater,kováčik,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,elateridae,kováčikovité,elater,kováčik,elater cinnabarinus,kováčik krvavý
species,coleoptera,chrobáky,polyphaga,všežravé,,,elateridae,kováčikovité,elater,kováčik,elater aethiops,kováčik smolovočierny
genus,coleoptera,chrobáky,polyphaga,všežravé,,,elateridae,kováčikovité,melanotus,kováčik,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,elateridae,kováčikovité,melanotus,kováčik,melanotus rufipes,kováčik štíhly
species,coleoptera,chrobáky,polyphaga,všežravé,,,elateridae,kováčikovité,melanotus,kováčik,melanotus punctolineatus,kováčik zrnitý
genus,coleoptera,chrobáky,polyphaga,všežravé,,,elateridae,kováčikovité,limonius,kováčik,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,elateridae,kováčikovité,limonius,kováčik,limonius pilosus,kováčik trávový
species,coleoptera,chrobáky,polyphaga,všežravé,,,elateridae,kováčikovité,limonius,kováčik,limonius minutus,kováčik krový
genus,coleoptera,chrobáky,polyphaga,všežravé,,,elateridae,kováčikovité,athous,kováčik,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,elateridae,kováčikovité,athous,kováčik,athous hirtus,kováčik chlpatý
species,coleoptera,chrobáky,polyphaga,všežravé,,,elateridae,kováčikovité,athous,kováčik,athous niger,kováčik čierny
species,coleoptera,chrobáky,polyphaga,všežravé,,,elateridae,kováčikovité,athous,kováčik,athous vittatus,kováčik pásikavý
species,coleoptera,chrobáky,polyphaga,všežravé,,,elateridae,kováčikovité,athous,kováčik,athous haemorrhoidalis,kováčik červenobruchý
species,coleoptera,chrobáky,polyphaga,všežravé,,,elateridae,kováčikovité,athous,kováčik,athous subfuscus,kováčik hladký
genus,coleoptera,chrobáky,polyphaga,všežravé,,,elateridae,kováčikovité,corymbites,kováčik,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,elateridae,kováčikovité,corymbites,kováčik,corymbites pectinicornis,kováčik zelený
species,coleoptera,chrobáky,polyphaga,všežravé,,,elateridae,kováčikovité,corymbites,kováčik,corymbites aeneus,kováčik lesklý
species,coleoptera,chrobáky,polyphaga,všežravé,,,elateridae,kováčikovité,corymbites,kováčik,corymbites latus,kováčik široký
genus,coleoptera,chrobáky,polyphaga,všežravé,,,elateridae,kováčikovité,agriotes,kováčik,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,elateridae,kováčikovité,agriotes,kováčik,agriotes ustulatus,kováčik poľný
species,coleoptera,chrobáky,polyphaga,všežravé,,,elateridae,kováčikovité,agriotes,kováčik,agriotes sputator,kováčik locikový
species,coleoptera,chrobáky,polyphaga,všežravé,,,elateridae,kováčikovité,agriotes,kováčik,agriotes lineatus,kováčik obilný
species,coleoptera,chrobáky,polyphaga,všežravé,,,elateridae,kováčikovité,agriotes,kováčik,agriotes obscurus,kováčik tmavý
genus,coleoptera,chrobáky,polyphaga,všežravé,,,elateridae,kováčikovité,dolopius,kováčik,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,elateridae,kováčikovité,dolopius,kováčik,dolopius marginatus,kováčik lemovaný
family,coleoptera,chrobáky,polyphaga,všežravé,,,eucnemidae,drevárikovité,,,,
genus,coleoptera,chrobáky,polyphaga,všežravé,,,eucnemidae,drevárikovité,melasis,drevárik,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,eucnemidae,drevárikovité,melasis,drevárik,melasis buprestoides,drevárik hôrny
genus,coleoptera,chrobáky,polyphaga,všežravé,,,eucnemidae,drevárikovité,eucnemis,drevárik,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,eucnemidae,drevárikovité,eucnemis,drevárik,eucnemis capucina,drevárik bukový
family,coleoptera,chrobáky,polyphaga,všežravé,,,buprestidae,krasoňovité,,,,
genus,coleoptera,chrobáky,polyphaga,všežravé,,,buprestidae,krasoňovité,chalcophora,krasoň,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,buprestidae,krasoňovité,chalcophora,krasoň,chalcophora mariana,krasoň borovicový
genus,coleoptera,chrobáky,polyphaga,všežravé,,,buprestidae,krasoňovité,capnodis,krasoň,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,buprestidae,krasoňovité,capnodis,krasoň,capnodis tenebrionis,krasoň tmavosivý
genus,coleoptera,chrobáky,polyphaga,všežravé,,,buprestidae,krasoňovité,perotis,krasoň,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,buprestidae,krasoňovité,perotis,krasoň,perotis lugubris,krasoň hnedý
genus,coleoptera,chrobáky,polyphaga,všežravé,,,buprestidae,krasoňovité,dicerca,krasoň,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,buprestidae,krasoňovité,dicerca,krasoň,dicerca alni,krasoň jelšový
genus,coleoptera,chrobáky,polyphaga,všežravé,,,buprestidae,krasoňovité,poecilonota,krasoň,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,buprestidae,krasoňovité,poecilonota,krasoň,poecilonota rutilans,krasoň lipový
genus,coleoptera,chrobáky,polyphaga,všežravé,,,buprestidae,krasoňovité,buprestis,krasoň,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,buprestidae,krasoňovité,buprestis,krasoň,buprestis rustica,krasoň obyčajný
genus,coleoptera,chrobáky,polyphaga,všežravé,,,buprestidae,krasoňovité,melanophila,krasoň,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,buprestidae,krasoňovité,melanophila,krasoň,melanophila cyanea,krasoň modrý
genus,coleoptera,chrobáky,polyphaga,všežravé,,,buprestidae,krasoňovité,anthaxia,krasoň,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,buprestidae,krasoňovité,anthaxia,krasoň,anthaxia candens,krasoň čerešňový
species,coleoptera,chrobáky,polyphaga,všežravé,,,buprestidae,krasoňovité,anthaxia,krasoň,anthaxia nitidula,krasoň lesklý
species,coleoptera,chrobáky,polyphaga,všežravé,,,buprestidae,krasoňovité,anthaxia,krasoň,anthaxia quadripunctata,krasoň štvorbodý
genus,coleoptera,chrobáky,polyphaga,všežravé,,,buprestidae,krasoňovité,chrysobothris,krasoň,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,buprestidae,krasoňovité,chrysobothris,krasoň,chrysobothris affinis,krasoň šesťbodý
genus,coleoptera,chrobáky,polyphaga,všežravé,,,buprestidae,krasoňovité,agrilus,krasoň,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,buprestidae,krasoňovité,agrilus,krasoň,agrilus biguttatus,krasoň dvojškvrnný
species,coleoptera,chrobáky,polyphaga,všežravé,,,buprestidae,krasoňovité,agrilus,krasoň,agrilus coeruleus,krasoň belasý
species,coleoptera,chrobáky,polyphaga,všežravé,,,buprestidae,krasoňovité,agrilus,krasoň,agrilus sulcicollis,krasoň dubový
species,coleoptera,chrobáky,polyphaga,všežravé,,,buprestidae,krasoňovité,agrilus,krasoň,agrilus sinuatus,krasoň stromový
species,coleoptera,chrobáky,polyphaga,všežravé,,,buprestidae,krasoňovité,agrilus,krasoň,agrilus auricollis,krasoň zlatistý
species,coleoptera,chrobáky,polyphaga,všežravé,,,buprestidae,krasoňovité,agrilus,krasoň,agrilus viridis,krasoň zelenkastý
family,coleoptera,chrobáky,polyphaga,všežravé,,,dascillidae,kvetárovité,,,,
genus,coleoptera,chrobáky,polyphaga,všežravé,,,dascillidae,kvetárovité,dascillus,kvetár,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,dascillidae,kvetárovité,dascillus,kvetár,dascillus cervinus,kvetár zelenkastý
family,coleoptera,chrobáky,polyphaga,všežravé,,,dermestidae,kožiarovité,,,,
genus,coleoptera,chrobáky,polyphaga,všežravé,,,dermestidae,kožiarovité,dermestes,kožiar,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,dermestidae,kožiarovité,dermestes,kožiar,dermestes laniarius,kožiar poľný
species,coleoptera,chrobáky,polyphaga,všežravé,,,dermestidae,kožiarovité,dermestes,kožiar,dermestes lardarius,kožiar domový
genus,coleoptera,chrobáky,polyphaga,všežravé,,,dermestidae,kožiarovité,attagenus,kožiar,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,dermestidae,kožiarovité,attagenus,kožiar,attagenus piceus,kožiar čierny
species,coleoptera,chrobáky,polyphaga,všežravé,,,dermestidae,kožiarovité,attagenus,kožiar,attagenus pellio,kožiar škvrnitý
genus,coleoptera,chrobáky,polyphaga,všežravé,,,dermestidae,kožiarovité,anthrenus,antrénus,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,dermestidae,kožiarovité,anthrenus,antrénus,anthrenus scrophulariae,antrénus krtičníkový
species,coleoptera,chrobáky,polyphaga,všežravé,,,dermestidae,kožiarovité,anthrenus,antrénus,anthrenus museorum,antrénus muzejný
species,coleoptera,chrobáky,polyphaga,všežravé,,,dermestidae,kožiarovité,anthrenus,antrénus,anthrenus verbasci,antrénus diviznový
family,coleoptera,chrobáky,polyphaga,všežravé,,,byrrhidae,meravcovité,,,,
genus,coleoptera,chrobáky,polyphaga,všežravé,,,byrrhidae,meravcovité,byrrhus,meravec,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,byrrhidae,meravcovité,byrrhus,meravec,byrrhus fasciatus,meravec škvrnitý
family,coleoptera,chrobáky,polyphaga,všežravé,,,ostomidae,ploskáňovité,,,,
genus,coleoptera,chrobáky,polyphaga,všežravé,,,ostomidae,ploskáňovité,nemosoma,ploskáň,,
